track_id,track_name,track_artist,track_popularity,track_album_release_date,danceability,energy,valence,track_album_release_year,track_album_release_decade
7tqhbajSfrz2F7E1Z75ASX,Ain't No Mountain High Enough,"Marvin Gaye, Tammi Terrell",87,1967-08-29,0.663,0.6,0.8,1967,60s
4BP3uh0hFLFRb5cjsgLqDh,Fortunate Son,Creedence Clearwater Revival,87,1969-11-02,0.64,0.663,0.663,1969,70s
6dGnYIeXmHdcikdzNNDMm2,Here Comes The Sun - Remastered 2009,The Beatles,85,1969-09-26,0.557,0.54,0.394,1969,70s
63T7DJ1AFDD6Bn8VzG6JE8,"Paint It, Black",The Rolling Stones,85,1966-04-15,0.464,0.795,0.612,1966,60s
3yrSvpt2l1xhsV9Em88Pul,Brown Eyed Girl,Van Morrison,83,1967-09,0.491,0.583,0.908,1967,60s
745H5CctFr12Mo7cqa1BMH,My Girl,The Temptations,83,1965-03-22,0.572,0.418,0.694,1965,60s
20OFwXhEXf12DzwXmaV7fj,Bad Moon Rising,Creedence Clearwater Revival,83,1969-08-03,0.508,0.774,0.942,1969,70s
4s6LhHAV5SEsOV0lC2tjvJ,California Dreamin' - Single Version,The Mamas & The Papas,82,1966-03,0.552,0.608,0.637,1966,60s
44AyOl4qVkzS48vBsbNXaC,Can't Help Falling in Love,Elvis Presley,82,1961-10-20,0.396,0.293,0.343,1961,60s
1qRA5BS78u3gME0loMl9AA,For What It's Worth,Buffalo Springfield,82,1966-12-05,0.653,0.519,0.822,1966,60s
2EqlS6tkEnglzr7tkKAAYD,Come Together - Remastered 2009,The Beatles,80,1969-09-26,0.533,0.376,0.187,1969,70s
62AuGbAkt8Ox2IrFFb8GKV,Sweet Caroline,Neil Diamond,80,1969-06-06,0.529,0.127,0.578,1969,70s
29U7stRjqHU6rMiS8BfaI9,What A Wonderful World,Louis Armstrong,80,1968-01-01,0.271,0.165,0.203,1968,60s
6H3kDe7CGoWYBabAeVWGiD,Gimme Shelter,The Rolling Stones,79,1969-12-05,0.634,0.63,0.489,1969,70s
4Hhv2vrOTy89HFRcjU3QOx,At Last,Etta James,79,1960,0.274,0.348,0.328,1960,60s
7s25THrKz86DM225dOYwnr,Respect,Aretha Franklin,78,1967-03-10,0.805,0.558,0.965,1967,60s
3BQHpFgAp4l80e1XslIjNI,Yesterday - Remastered 2009,The Beatles,79,1965-08-06,0.332,0.179,0.315,1965,60s
0xxZY5C9xxij3D1HkzbnfC,Monster Mash,"Bobby ""Boris"" Pickett, The Crypt-Kickers",78,1962,0.541,0.504,0.707,1962,60s
0iOZM63lendWRTTeKhZBSC,"Mrs. Robinson - From ""The Graduate"" Soundtrack",Simon & Garfunkel,78,1968-04-03,0.606,0.457,0.813,1968,60s
1JO1xLtVc8mWhIoE3YaCL0,Happy Together,The Turtles,78,1967,0.584,0.367,0.588,1967,60s
6b6IMqP565TbtFFZg9iFf3,"I Can't Help Myself (Sugar Pie, Honey Bunch)",Four Tops,78,1965,0.667,0.599,0.971,1965,60s
5ZBeML7Lf3FMEVviTyvi8l,Twist And Shout - Remastered 2009,The Beatles,79,1963-03-22,0.482,0.849,0.937,1963,60s
0hCB0YR03f6AmQaHbwWDe8,Whole Lotta Love - 1990 Remaster,Led Zeppelin,78,1969-10-22,0.412,0.902,0.422,1969,70s
0bfvHnWWOeU1U5XeKyVLbW,Can't Take My Eyes off You,Frankie Valli,78,1967,0.581,0.78,0.561,1967,60s
48i055G1OT5KxGGftwFxWy,"Oh, Pretty Woman",Roy Orbison,78,1962,0.619,0.603,0.958,1962,60s
6pxWv6GV35VGmcPf5dh6CH,Proud Mary,Creedence Clearwater Revival,77,1969-01-05,0.699,0.641,0.728,1969,70s
1OppEieGNdItZbE14gLBEv,You Can't Hurry Love,The Supremes,77,1966-08-25,0.63,0.711,0.659,1966,60s
4feXcsElKIVsGwkbnTHAfV,Somethin' Stupid,Frank Sinatra,77,1967-08,0.257,0.338,0.544,1967,60s
3G7tRC24Uh09Hmp1KZ7LQ2,I'm a Believer - 2006 Remaster,The Monkees,77,1967-01-09,0.526,0.775,0.962,1967,60s
1kPBT8S2wJFNAyBMnGVZgL,I'd Rather Go Blind,Etta James,77,1968-04-18,0.477,0.433,0.611,1968,60s
1Ud6moTC0KyXMq1Oxfien0,Sympathy For The Devil - 50th Anniversary Edition,The Rolling Stones,77,1968-12-06,0.702,0.668,0.561,1968,60s
4kP69y3GKHi9tXckfgp4bK,For Once In My Life,Stevie Wonder,76,1968-12-01,0.524,0.519,0.847,1968,60s
3TlIt0ReIxPsVZcOEivT5U,It's Not Unusual,Tom Jones,76,1965-05-01,0.476,0.722,0.909,1965,60s
1tqT6DhmsrtQgyCKUwotiw,I Heard It Through The Grapevine,Marvin Gaye,76,1968-08-26,0.711,0.362,0.616,1968,60s
4QxDOjgpYtQDxxbWPuEJOy,L-O-V-E,Nat King Cole,76,1965-01-11,0.425,0.373,0.663,1965,60s
2gE95JskwQ1pCACTpGe1Db,Down On The Corner,Creedence Clearwater Revival,76,1969-11-02,0.858,0.544,0.874,1969,70s
6ToM0uwxtPKo9CMpbPGYvM,Break on Through (To the Other Side),The Doors,76,1967-01-04,0.421,0.751,0.789,1967,60s
5y788ya4NvwhBznoDIcXwK,The Sound of Silence - Acoustic Version,Simon & Garfunkel,76,1964-10-19,0.525,0.216,0.328,1964,60s
5b7OgznPJJr1vHNYGyvxau,Fly Me To The Moon (In Other Words),"Frank Sinatra, Count Basie",75,1962-12-10,0.668,0.26,0.368,1962,60s
6FT83pFXKhDlXDsNJFAHWz,You Never Can Tell,Chuck Berry,75,1964-11-01,0.525,0.852,0.884,1964,60s
29SyMC0plk6qw8NMF7lfRL,You Really Got Me,The Kinks,75,1964-10-02,0.573,0.939,0.963,1964,60s
11DjZQEZ69EXLo77HVj6yW,Green River,Creedence Clearwater Revival,76,1969-08-03,0.702,0.772,0.973,1969,70s
1Eolhana7nKHYpcYpdVcT5,Little Wing,Jimi Hendrix,74,1967-12-01,0.515,0.534,0.426,1967,60s
6hleUCx3E4gB2urwRvx1QT,Time of the Season - Mono Version,The Zombies,74,1968,0.536,0.696,0.683,1968,60s
0wz1LjDb9ZNEYwOmDJ3Q4b,Surfin' U.S.A. - Remastered 2001,The Beach Boys,74,1963-03-25,0.55,0.854,0.965,1963,60s
1WN4uNclrDuczTO3bCr8s1,Be My Baby,The Ronettes,74,1964-11-01,0.512,0.771,0.803,1964,60s
7BY005dacJkbO6EPiOh2wb,House Of The Rising Sun,The Animals,74,1964-01-01,0.295,0.584,0.228,1964,60s
3spdoTYpuCpmq19tuD0bOe,My Way,Frank Sinatra,75,1969-03,0.401,0.381,0.229,1969,70s
6PgVDY8GTkxF3GmhVGPzoB,"Hold On, I'm Comin'",Sam & Dave,74,1966,0.803,0.338,0.912,1966,60s
72Z17vmmeQKAg8bptWvpVG,Space Oddity - 2015 Remaster,David Bowie,74,1969-11-04,0.31,0.403,0.466,1969,70s
0wJoRiX5K5BxlqZTolB2LD,Purple Haze,Jimi Hendrix,73,1967-05-12,0.533,0.905,0.486,1967,60s
0P7DoyGrr4Wp9w5TotEtUC,The Weight - Remastered 2000,The Band,73,1968-07-01,0.63,0.551,0.518,1968,60s
0QwZfbw26QeUoIy82Z2jYp,Good Times Bad Times - 1993 Remaster,Led Zeppelin,73,1969-01-12,0.476,0.717,0.753,1969,70s
5haXbSJqjjM0TCJ5XkfEaC,I Got You (I Feel Good),James Brown & The Famous Flames,73,1966-01-01,0.613,0.487,0.699,1966,60s
4vpeKl0vMGdAXpZiQB2Dtd,White Rabbit,Jefferson Airplane,73,1967,0.551,0.293,0.322,1967,60s
7DD7eSuYSC5xk2ArU62esN,Help! - Remastered 2009,The Beatles,73,1965-08-06,0.534,0.725,0.763,1965,60s
76TZCvJ8GitQ2FA1q5dKu0,The Boxer,Simon & Garfunkel,73,1970-01-26,0.439,0.488,0.629,1970,70s
74VR3AkGPhbYXnxcOYa16x,Strangers In The Night,Frank Sinatra,73,1966-05,0.259,0.473,0.539,1966,60s
6MTd61g9zq6CB1FnJydjEb,Sugar Sugar,The Archies,73,1969-11-14,0.757,0.725,0.965,1969,70s
0zGLlXbHlrAyBN1x6sY0rb,A Sunday Kind Of Love,Etta James,73,1960,0.421,0.285,0.402,1960,60s
6RJK553YhstRzyKA4mug09,The Letter,The Box Tops,73,1967,0.638,0.428,0.901,1967,60s
6YffUZJ2R06kyxyK6onezL,Ring of Fire,Johnny Cash,73,1963-08-06,0.659,0.585,0.784,1963,60s
3MODES4TNtygekLl146Dxd,Ramble On - 1990 Remaster,Led Zeppelin,72,1969-10-22,0.468,0.607,0.886,1969,70s
5uvosCdMlFdTXhoazkTI5R,Light My Fire,The Doors,72,1967-01-04,0.413,0.725,0.44,1967,60s
3Xls4cNOwy01dtrNXb1inG,White Room,Cream,72,1968-07-01,0.553,0.576,0.457,1968,60s
5uES1C2NgkdrNHiCwf9jRr,Baby Love,The Supremes,72,1964-08-31,0.595,0.643,0.73,1964,60s
0mbS3VwRbO6HVBMPXnzOGA,To Love Somebody,Bee Gees,72,1967-07-14,0.423,0.384,0.521,1967,60s
0NWPxcsf5vdjdiFUI8NgkP,Hey Joe,Jimi Hendrix,72,1967-05-12,0.346,0.768,0.532,1967,60s
4uGIJG1jYFonGc4LGp5uQL,Somebody to Love,Jefferson Airplane,72,1967,0.504,0.578,0.654,1967,60s
2HoqbEOXgbDSLZ5XCePEXt,Hit the Road Jack,Ray Charles,72,2021-06-04,0.598,0.571,0.962,2021,
4c4jJJoaiY21t2TyRZgdWS,Magic Carpet Ride,Steppenwolf,72,1968-10-01,0.64,0.651,0.801,1968,60s
5K09WxKdlkroDyEVyOSySy,(You Make Me Feel Like) A Natural Woman,Aretha Franklin,72,1968-01-22,0.603,0.271,0.405,1968,60s
1udKn1oNKYQSQ9OmiIWCMu,Do You Believe in Magic?,The Lovin' Spoonful,71,1965-11,0.553,0.738,0.759,1965,60s
3AhXZa8sUQht0UEdBJgpGc,Like a Rolling Stone,Bob Dylan,71,1965-08-30,0.482,0.721,0.557,1965,60s
78JmElAFmrPNhLjovDR9Jm,All Day and All of the Night,The Kinks,71,1964-10-02,0.551,0.86,0.723,1964,60s
6LbbHFEajG9e4m0G3L47c4,Pinball Wizard,The Who,71,1969-05-23,0.543,0.715,0.468,1969,70s
7uEcCGtM1FBBGIhPozhJjv,Daydream Believer,The Monkees,71,1968-04-22,0.51,0.488,0.649,1968,60s
1xKQbqQtQWrtQS47fUJBtl,Piece of My Heart,"Big Brother & The Holding Company, Janis Joplin",71,1968-08-12,0.443,0.727,0.566,1968,60s
2DpJ9T2RVRanZcYFHKOAfA,Put Your Head On My Shoulder,Paul Anka,71,2000-10-03,0.547,0.335,0.474,2000,2000s
65jrjEhWfAvysKfnojk1i0,Under the Boardwalk,The Drifters,71,1964-06-01,0.747,0.226,0.778,1964,60s
2fDHuS1PTkHBbCWWZF1ph9,"Folsom Prison Blues - Live at Folsom State Prison, Folsom, CA - January 1968",Johnny Cash,71,1968-05-01,0.621,0.524,0.889,1968,60s
0sjxRg1VlYfx4YG7uxurrq,I Put A Spell On You,Nina Simone,70,1965-06-01,0.42,0.398,0.364,1965,60s
4vju55Ag7apDL2CfotuE7Q,Sunny,Bobby Hebb,70,1966-01-01,0.714,0.338,0.667,1966,60s
3lN8PP6R2IxbLP05QpYXng,Born To Be Wild - Single Version,Steppenwolf,70,1968-01-01,0.439,0.734,0.54,1968,60s
1INWPr855fwWdAOeecbu0W,Let's Twist Again,Chubby Checker,70,1961-01-01,0.604,0.709,0.907,1961,60s
4eGHlplaq1ME8oetnTuFFf,Soul Man,Sam & Dave,70,1967,0.79,0.41,0.815,1967,60s
6lFZbCc7pn6Lme1NP7qQqQ,You Can't Always Get What You Want,The Rolling Stones,70,1969-12-05,0.32,0.62,0.472,1969,70s
7ngRS53kqxLcEt9Pythc5d,You Don't Own Me,Lesley Gore,70,1963-11-01,0.473,0.434,0.711,1963,60s
7FXuCkl1kfxwS5icDjTwbM,Hard to Handle,Otis Redding,70,2018-05-18,0.666,0.55,0.961,2018,2010s
18GiV1BaXzPVYpp9rmOg0E,Blowin' in the Wind,Bob Dylan,70,1963-05-27,0.38,0.0993,0.44,1963,60s
1DndHckdH9m5rp6gYP086b,Runaround Sue,Dion,70,1961,0.364,0.607,0.598,1961,60s
76ICmoJ4PcoMWoooaTxnQs,Land of 1000 Dances,Wilson Pickett,70,1966,0.618,0.588,0.768,1966,60s
0KOE1hat4SIer491XKk4Pa,A Change Is Gonna Come,Sam Cooke,70,1964-03-01,0.212,0.383,0.452,1964,60s
3v9xlH6BpmRbqL7hgNJhfT,I Get Around (Mono),The Beach Boys,69,1964-07-13,0.39,0.625,0.514,1964,60s
1UKobFsdqNXQb8OthimCKe,Helplessly Hoping - 2005 Remaster,"Crosby, Stills & Nash",69,1969-05-29,0.483,0.159,0.423,1969,70s
6sPOmDulFtLzfX25zICNrC,Build Me Up Buttercup,The Foundations,69,1968-01-01,0.659,0.513,0.855,1968,60s
2AxCeJ6PSsBYiTckM0HLY7,Voodoo Child (Slight Return),Jimi Hendrix,69,1968-10-25,0.214,0.91,0.448,1968,60s
36CKza28wMxYdjdzji7ine,I Started A Joke,Bee Gees,69,1968-08-11,0.31,0.464,0.431,1968,60s
1GY8zOFi8rC39xXnD0tKO8,Rescue Me,Fontella Bass,69,1966-01-01,0.678,0.544,0.963,1966,60s
7znjbX9XdoQayIrVNdd50Z,The Girl From Ipanema,"Stan Getz, João Gilberto",69,1964,0.653,0.149,0.481,1964,60s
3SdTKo2uVsxFblQjpScoHy,Stand by Me,Ben E. King,82,1962-08-20,0.65,0.306,0.605,1962,60s
2qhASBzpbFhPRtrnZ5lLnz,Unchained Melody,The Righteous Brothers,78,1965-04-04,0.339,0.208,0.288,1965,60s
27hhIs2fp6w06N5zx4Eaa5,Dream A Little Dream Of Me,The Mamas & The Papas,75,1968-05-01,0.413,0.313,0.349,1968,60s
6ft9PAgNOjmZ2kFVP7LGqb,Can't Take My Eyes off You,Frankie Valli & The Four Seasons,72,2003-01-14,0.575,0.764,0.536,2003,2000s
51FpzuGkRYXFgsE2zXt9av,When a Man Loves a Woman,Percy Sledge,72,1966,0.516,0.15,0.205,1966,60s
7odHgoLFi3GQ90E9PeraI3,Son of a Preacher Man,Dusty Springfield,70,1969-03-31,0.401,0.498,0.816,1969,70s
3KfbEIOC7YIv90FIfNSZpo,In My Life - Remastered 2009,The Beatles,78,1965-12-03,0.688,0.435,0.435,1965,60s
7DsQgIwg23u9gooCxkRTu3,A Whiter Shade of Pale - Original Single Version,Procol Harum,69,2019-05-03,0.249,0.66,0.427,2019,2010s
3zpj9dvJABiyMrmLCPw6i8,Crazy - Single Version,Patsy Cline,68,1961-11-27,0.471,0.021,0.356,1961,60s
2IdwQxhJn9ZE4zIotcCefR,Stormy Weather,Etta James,70,1960,0.262,0.356,0.426,1960,60s
5ZoDwIP1ntHwciLjydJ8X2,My Cherie Amour,Stevie Wonder,68,1969-08-01,0.574,0.507,0.514,1969,70s
1GLmaPfulP0BrfijohQpN5,Don't Worry Baby - Remastered 2001,The Beach Boys,68,1964-03-02,0.487,0.464,0.851,1964,60s
0WVTQp3SOCuMr08jh1jweV,Bring It On Home to Me,Sam Cooke,67,2000-09-26,0.523,0.402,0.675,2000,2000s
3xsOtNxtBW0oTI1OWKAzTm,Walk on By,Dionne Warwick,67,1964,0.7,0.33,0.524,1964,60s
5jgFfDIR6FR0gvlA56Nakr,Blackbird - Remastered 2009,The Beatles,78,1968-11-22,0.686,0.127,0.372,1968,60s
0PkBTqRtN25z3oKasWoKlj,Only the Lonely,Roy Orbison,67,1961,0.57,0.529,0.934,1961,60s
60jQTAr2OkFcV4SWSRz3st,Emotions,Brenda Lee,67,1961-04-03,0.466,0.416,0.516,1961,60s
7dblNGnRXEBrVJunazs2U5,All I Have to Do Is Dream,The Everly Brothers,66,1964-08-01,0.534,0.462,0.534,1964,60s
7jVBSPLSbL1jKVBDMXlRCx,(What A) Wonderful World,Sam Cooke,67,2023-02-10,0.588,0.561,0.943,2023,
3EFb1qDgIqf9MegIryKtDj,"Monday, Monday - Single Version",The Mamas & The Papas,66,1966-03,0.488,0.464,0.709,1966,60s
391TUcoPonqYykPkSZ5Z9U,Save the Last Dance for Me,The Drifters,66,1962,0.54,0.53,0.896,1962,60s
4VijLEUxHEzbWKYL5u9wuN,You Send Me,Aretha Franklin,66,1968-06-14,0.512,0.303,0.629,1968,60s
3nsJGZ5RV2ZHkbKvD771gU,Ooo Baby Baby,Smokey Robinson & The Miracles,65,1965-11-01,0.185,0.344,0.424,1965,60s
6yMGxqKj0218mFR5KqsMRq,Georgia on My Mind,Ray Charles,64,2021-09-10,0.19,0.323,0.281,2021,
0SxFyA4FqmEQqZVuAlg8lf,The First Time Ever I Saw Your Face,Roberta Flack,64,1969,0.311,0.0264,0.139,1969,70s
6V9VCm1zOY2lGR80RehJ9i,Wichita Lineman - Remastered 2001,Glen Campbell,64,1968,0.192,0.392,0.391,1968,60s
07PIhdmyYIw8dMeDMsx9FU,Words,Bee Gees,64,1968-02-01,0.259,0.289,0.246,1968,60s
6cZrsaNb4Zo9E5KHk7gcz5,Who's Lovin' You,The Jackson 5,64,1969-12-18,0.247,0.307,0.403,1969,70s
2zF8ro2hX0aEYaqXQdEKW1,How Sweet It Is (To Be Loved By You),Marvin Gaye,64,1965,0.653,0.49,0.963,1965,60s
5BFWQXNGPYadZxNKxY1UfU,Green Green Grass Of Home,Tom Jones,64,1967-03-01,0.543,0.41,0.817,1967,60s
58CUIzSxNpQUFvTCd8tntH,La-La Means I Love You,The Delfonics,63,1968,0.365,0.548,0.623,1968,60s
24AIahNHzBxm9S12peXbnG,"Moon River (From ""Breakfast at Tiffany's"")",Andy Williams,63,1962,0.281,0.212,0.195,1962,60s
4RYwE31p4KflK1h7J7m1Yt,Spooky (Single Version),Dusty Springfield,63,2020-01-31,0.776,0.47,0.963,2020,2010s
3g2fYZW5v2od8KIF7VktT0,Scarborough Fair / Canticle,Simon & Garfunkel,63,1966-10-10,0.336,0.248,0.298,1966,60s
4Y4Gd3ty8uut6Qw43c7yJc,(Sittin' On) the Dock of the Bay,Otis Redding,63,1968-02-23,0.484,0.312,0.598,1968,60s
6ZSTinOwx5dKFYc6iYyGDn,Leaving on a Jet Plane,"Peter, Paul and Mary",62,1967-10-31,0.414,0.167,0.384,1967,60s
1MHgV79MSYE6ymNlGa3bRY,I'll Never Fall in Love Again,Dionne Warwick,62,1970,0.676,0.339,0.756,1970,70s
1bYItjcPRtxZs6Ir71O5RB,(I Left My Heart) In San Francisco,Tony Bennett,62,1962-06-18,0.313,0.078,0.125,1962,60s
7vVG9xbmNQrtdSPTi7KDUm,Chapel Of Love,The Dixie Cups,61,2006-12-13,0.602,0.348,0.75,2006,2000s
2Qhvi6R73Zj3cpzRYzcAww,Honey,Bobby Goldsboro,61,1968-01-01,0.399,0.278,0.597,1968,60s
4Y6pdMS2PwGshq1MYcJ9fC,I Will Follow You,Ricky Nelson,61,1963-01-01,0.671,0.442,0.749,1963,60s
7cNRqg0lbiqBaGeOlA4AEU,Up on the Roof,The Drifters,60,1964-06-01,0.693,0.29,0.92,1964,60s
44pN9jfSqY3d3lrKuv3QeN,In Dreams,Roy Orbison,60,1963-02-01,0.495,0.435,0.71,1963,60s
3UCmuRdeTriWgOZMEJsfqZ,Spanish Harlem,Ben E. King,59,1961,0.608,0.594,0.789,1961,60s
77qBwefBIdzymXNCuAI8YX,San Francisco (Be Sure to Wear Some Flowers In Your Hair),Scott McKenzie,59,1967-11-01,0.495,0.67,0.478,1967,60s
6AeG6jSoAVbmUFO6LyYmBf,People Get Ready,The Impressions,59,1965-02-07,0.414,0.249,0.341,1965,60s
4QelFzhVgLomeQhvKrwM1S,Blue Velvet,Bobby Vinton,58,1962,0.376,0.246,0.282,1962,60s
37soQoNhEEIrhhYgHWK1xU,Ain't Nothing Like The Real Thing,"Marvin Gaye, Tammi Terrell",58,1968-01-01,0.606,0.52,0.765,1968,60s
3NFScsiDPfCzKgQQUL0674,Ferry Cross the Mersey - Stereo; 1997 Remaster,Gerry & The Pacemakers,58,1965-02-01,0.396,0.286,0.605,1965,60s
0CczH75yFBo53bVqLRvYn4,Till There Was You - Remastered,Peggy Lee,58,1960-01-04,0.674,0.195,0.594,1960,60s
6oM4ryXpuZmbFfBv2sEe7v,Sealed With A Kiss,Brian Hyland,58,1993-01-01,0.449,0.362,0.6,1993,90s
5Zu9mG353GB3p26t7M5AmR,Trust In Me,Etta James,58,1960,0.486,0.377,0.5,1960,60s
2GbePPrWWSRxcmW6QRSPae,Piece of My Heart,Erma Franklin,58,2009-02-18,0.467,0.783,0.591,2009,2010s
4xUqqie4bBKufHtlMuZS3k,Are You Lonesome Tonight?,Elvis Presley,57,1997-07-15,0.433,0.0748,0.193,1997,90s
2exbololsmP1XM2gmBEvAW,Misty,Lesley Gore,57,1963-06-01,0.534,0.256,0.475,1963,60s
3o7k5Mcdi0PFAXICTqjxra,Massachusetts - Stereo Version,Bee Gees,57,1968-02-01,0.483,0.573,0.506,1968,60s
0wBaPbJ2qsbGqgnGbqBDgP,What Becomes Of The Brokenhearted,Jimmy Ruffin,57,2004-01-01,0.733,0.443,0.701,2004,2000s
1tjpccwiGZTMDfHr5VGCmT,I Wish It Would Rain,The Temptations,57,1968,0.388,0.449,0.692,1968,60s
79Yk6AlSKi5dxDFINID2hS,Someday We'll Be Together,Diana Ross & The Supremes,56,1969-11-03,0.678,0.535,0.795,1969,70s
10u9028SSfRyIKxV4xrzsg,Darling Baby,Various Artists,56,1992-11-03,0.574,0.53,0.83,1992,90s
63rva3TBizr6x1Yp5uwKfD,California Dreamin',The Mamas & The Papas,56,1966-03,0.554,0.667,0.597,1966,60s
3lWuagNhAzcqOikD5KnBku,Crying in the Rain,The Everly Brothers,55,1962-06-01,0.61,0.379,0.48,1962,60s
2MRJ3Oqb5yAONPvQyoWnQ9,Can't Help Falling In Love - with The Royal Philharmonic Orchestra,"Elvis Presley, Royal Philharmonic Orchestra",55,2015-10-30,0.0899,0.444,0.136,2015,2010s
1c7ELD4W6VyoKTglc4zzUH,Mad About The Boy,Dinah Washington,55,1987-01-01,0.344,0.147,0.263,1987,80s
6wccwN37R7tRotVrK8Htni,This Magic Moment - Single Version; Remastered,The Drifters,55,2019-08-09,0.314,0.453,0.678,2019,2010s
0tURbnatc9qCxlYpXuPK8I,A Place In The Sun,Stevie Wonder,54,1966-11-01,0.561,0.447,0.729,1966,60s
4QJ1F5dFjDTnoHgew9cdRr,Sweet Happy Life,Peggy Lee,54,1966-10-01,0.698,0.409,0.897,1966,60s
3Rhxe6P1im82NFVkt9X2qZ,I'm Gonna Make You Love Me,"Diana Ross & The Supremes, The Temptations",54,1968-11-08,0.635,0.393,0.427,1968,60s
6NDg4EyQE5lalcCEEpytsM,"(Ummmm, Oh Yeah) Dearest",Buddy Holly,54,1969-01-01,0.548,0.493,0.568,1969,70s
2ID3rNM3hFBjqrLcV0Wr0y,It Was A Very Good Year,Frank Sinatra,53,1965-08,0.215,0.142,0.126,1965,60s
6n3WVi0pxFQuAjAQRPPryY,Cowboys to Girls,The Intruders,53,1968-01-01,0.278,0.432,0.838,1968,60s
27bw4i8LnECzVlbMZ4kFHw,Cathy's Clown - 2007 Remaster,The Everly Brothers,53,1960-10,0.507,0.561,0.89,1960,60s
3bq9YHKExHdNzMCublodNs,I'm So Proud,The Impressions,53,1964-09-09,0.608,0.121,0.288,1964,60s
35IRrhDF5x53hRCcc1okcZ,"Its Been a Long, Long Time",Kitty Kallen,52,1963-11-26,0.271,0.18,0.416,1963,60s
0l9RGwc48deJ6j61KXAAvs,"Yester-Me, Yester-You, Yesterday",Stevie Wonder,53,1969-08-01,0.604,0.357,0.638,1969,70s
1HzfcOcxJeGmxgf5a6MK0W,Angel Baby,Rosie & The Originals,52,1960-12-24,0.6,0.253,0.449,1960,60s
6VqVieqjDEwS3mByMq4OzB,Cupid,Sam Cooke,52,2003-06-17,0.474,0.478,0.831,2003,2000s
1t2zYsS4UgIkkuBgSe0fZt,More Than I Can Say,Bobby Vee,51,1961-01-01,0.578,0.295,0.603,1961,60s
6hgY1l6EqrfrHRNrxwKRiK,Love Hurts - 2007 Remaster,The Everly Brothers,50,1960-10,0.65,0.246,0.539,1960,60s
3nxEmpFc1R0kiDrULNkSaf,You'll Never Walk Alone,Various Artists,50,2017-08-10,0.452,0.428,0.291,2017,2010s
1UBcwKIAUHo7BYAvae6yeA,Wishin' And Hopin',Dusty Springfield,50,1964-06-26,0.683,0.374,0.707,1964,60s
1vG906bxMqUVufJoLSF4rV,You've Really Got A Hold On Me,Smokey Robinson & The Miracles,50,2002-09-24,0.652,0.401,0.647,2002,2000s
3s2inuLbQQZ7z1GJrdlQr6,Forever,The Marvelettes,49,1962-01-01,0.573,0.431,0.722,1962,60s
0fonScmHUzC0MglSLn9saA,Da Doo Ron Ron (When He Walked Me Home),The Crystals,60,2011-02-22,0.535,0.797,0.613,2011,2010s
11fNLqDB47gMKj7BHhR2Qr,Wake up Little Susie,The Everly Brothers,61,1964-08-01,0.709,0.62,0.936,1964,60s
2aoo2jlRnM3A0NyLQqMN2f,All Along the Watchtower,Jimi Hendrix,78,1968-10-25,0.438,0.805,0.564,1968,60s
5t9KYe0Fhd5cW6UYT4qP8f,Good Vibrations - Remastered 2001,The Beach Boys,74,1967-09-18,0.396,0.473,0.385,1967,60s
4fQMGlCawbTkH9yPPZ49kP,Green Onions,Booker T. & the M.G.'s,73,1962,0.816,0.514,0.912,1962,60s
